cip13,lib_cip13,remboursement_total,base_remboursement_totale,boites_delivrees,remboursement_moyen,nb_observations
3400926783501,EYLEA 4 MG SOL INJ SER 1,468755236.26,469613781.22999996,730936,1674125.8437857144,280
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",444342645.01,445141125.40999997,732189,1526950.670137457,291
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,400823353.43,408069637.59999996,55543,4264078.227978723,94
3400926784102,ELIQUIS 5MG CPR 60,395849134.14,425552170.99,7141986,414501.7111413613,955
3400930211380,KAFTRIO 100/50/75MG CPR 56,359418028.4,360476652.71999997,36611,5990300.473333334,60
3400930117644,XTANDI 40MG CPR 112,332184672.05,332682472.85,111400,2939687.3632743363,113
3400930076279,ZYTIGA 500 MG CPR 60,245973319.55,246922422.37,94982,2016174.7504098362,122
3400921923056,XARELTO 20 MG CPR 28,234057214.62,255030494.22,4746138,280308.04146107787,835
3400941945670,ELIQUIS 2.5MG CPR 60,229978524.85999998,246630998.06,4141044,310781.7903513514,740
3400930159484,KALYDECO 150 MG CPR 28,222825668.01,223531804.97,36682,3713761.1335,60
3400930047651,TAGRISSO 80 MG CPR 30,218133197.2,219173322.65,41608,1536149.276056338,142
3400937484954,STELARA 90 MG SOL INJ SER 1,211493726.72,217347579.13,99648,911610.8910344827,232
3400930156162,IMBRUVICA 420 MG CPR 30,196059981.69,196337367.79,37205,2000612.0580612244,98
3400930042687,HUMIRA 40 MG SOL INJ STYLO + TAMP 2,176180065.87,181481069.81,324441,457610.5607012987,385
3400930003763,"TRULICITY 1,5 MG SOL INJ STYLO 4",164253733.93,166879164.25,2061010,297023.02699819166,553
3400939212494,XOLAIR 150 MG SOL INJ SER 1,163323611.24,182235309.46,538466,518487.65473015874,315
3400930167267,ERLEADA 60MG CPR 120,157279872.67,157678757.91,55456,1541959.5359803922,102
3400935955838,DOLIPRANE 1G CPR 8,149506542.59,205223069.51,175776493,78522.34379726891,1904
3400930075302,IBRANCE 125 MG GELULE 21,139790129.78,140168771.07,65234,1118321.03824,125
3400930153031,BIKTARVY 50/200/25MG CPR 30,136326717.54,139829933.65,209207,721305.3838095238,189
