prescripteur,nb_medicaments,remboursement_total,base_remboursement_totale,boites_delivrees,part_remboursement,part_boites
PRESCRIPTEURS SALARIES,10998,12821152279.8,13679015853.35,457022390,49.2517753699918,19.300226346737357
MEDECINE GENERALE LIBERALE,11040,8222698976.49,10316475206.18,1595757532,31.587061294264913,67.38943700791329
OPHTALMOLOGIE LIBERALE,2837,782234572.57,862305126.58,40369299,3.0049125549782625,1.7048105852300104
Inconnu,12037,692100432.32,742973864.48,21253309,2.6586670435077764,0.8975351827229956
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,4961,462409311.93,490850746.03,18282545,1.776320806675895,0.7720787086479752
RHUMATOLOGIE LIBERALE,2260,424309014.56,445167571.13,14269418,1.6299605383750808,0.6026028554885643
MEDECINE INTERNE LIBERALE,2845,342768877.91,346304879.75,4433222,1.3167284351848296,0.18721662202443884
RADIOLOGIE LIBERALE,2769,276863778.1,290664940.63,6298406,1.063557495417344,0.2659840394770345
PNEUMOLOGIE LIBERALE,1904,267762661.62,324010656.99,9916293,1.0285960399485312,0.41876875971124133
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,2209,252554905.3,272585742.14,8149942,0.9701762519444302,0.34417509678854324
CHIRURGIE LIBERALE,3778,218910317.9,264885498.20000002,24934939,0.8409323567875508,1.0530117936718348
DERMATOLOGIE ET VENEROLOGIE LIBERALE,2342,198737082.99,297400244.12,12258473,0.763437946566811,0.517679896526226
PEDIATRIE LIBERALE,2327,180716837.77,285655461.87,19821748,0.6942141318644515,0.8370798266316635
NEUROLOGIE LIBERALE,1845,179573678.06,186814641.92,5655323,0.6898227445678782,0.2388264040278415
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,3191,169569581.37,177470550.84,9766721,0.65139253859241,0.4124522782470964
GYNECOLOGIE OBSTETRIQUE LIBERALE,3496,146256825.92,182568359.55,18975987,0.5618378270016305,0.8013630234893866
PSYCHIATRIE LIBERALE,3102,139931469.35,169877021.98,32903936,0.537539305767188,1.3895455154802367
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",2912,128389763.41,187230227.91,20272658,0.49320245554203435,0.8561219244641294
CHIRURGIE DENTAIRE,2301,41614701.14,77890170.08,32273059,0.15986066368354482,1.3629033439731677
OTO RHINO-LARYNGOLOGIE LIBERALE,2219,41051170.33,69383233.95,7164005,0.15769589001402698,0.3025386087739775
NEPHROLOGIE LIBERALE,1700,28413888,29226652.13,2912399,0.10915044128825648,0.12299169831047344
ANESTHESIOLOGIE - REANIMATION LIBERALE,1621,8992074.89,12477096.6,1914817,0.034542577993569565,0.0808634375934636
STOMATOLOGIE LIBERALE,882,3554723.01,6464731.34,2758694,0.013655279601264681,0.1165006787115753
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,617,1142988.61,1665063.49,460378,0.0043907300250128,0.01944193501123271
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,157,77942.7,110754.03,24554,2.9941274141005226e-4,0.0010369245973217834
CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.),115,68330.42,193350.59,112972,2.624876784342891e-4,0.004770849784500958
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,25,1921.15,2838.85,868,7.3799956655327815e-6,3.6655964424342586e-5
